,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
13,5925.272727,5097.939393,4818.212121,4550.333333,3543.212121,4290.696969,3999.121212,4212.90909,4488.515151,4416.393939,5217.454545,6110.212121,4525.090909,7250.242424,left
14,5925.272727,5097.939393,4818.212121,4550.333333,3543.212121,4290.696969,3999.121212,4212.90909,4488.515151,4416.393939,5217.454545,6110.212121,4525.090909,7250.242424,left
15,5925.272727,5097.939393,4818.212121,4550.333333,3543.212121,4290.696969,3999.121212,4212.90909,4488.515151,4416.393939,5217.454545,6110.212121,4525.090909,7250.242424,left
18,4022.818181,5743.424242,3314.484848,5361.181818,3493.242424,4469.454545,4016.636363,4696.121212,4412.787878,4357.666666,4292.242424,5993.787878,4275.757575,5685.727272,left
19,4022.818181,5743.424242,3314.484848,5361.181818,3493.242424,4469.454545,4016.636363,4696.121212,4412.787878,4357.666666,4292.242424,5993.787878,4275.757575,5685.727272,left
20,5257.636363,4526.121212,5844.393939,4250.515151,3729.696969,4263.90909,3426.272727,4541.060606,4415.363636,4104.212121,4454,4555.484848,4080,5559.515151,left
21,5257.636363,4526.121212,5844.393939,4250.515151,3729.696969,4263.90909,3426.272727,4541.060606,4415.363636,4104.212121,4454,4555.484848,4080,5559.515151,left
22,5257.636363,4526.121212,5844.393939,4250.515151,3729.696969,4263.90909,3426.272727,4541.060606,4415.363636,4104.212121,4454,4555.484848,4080,5559.515151,left
23,5257.636363,4526.121212,5844.393939,4250.515151,3729.696969,4263.90909,3426.272727,4541.060606,4415.363636,4104.212121,4454,4555.484848,4080,5559.515151,left
24,4512.727272,4649.757575,4300.484848,4516.333333,3462.333333,4279.363636,3792.545454,4395.272727,4496.757575,4197.454545,5051.575757,4267.515151,4403,6699.545454,left
25,4180.454545,4364.878787,4664.181818,5144.818181,3418.030303,4268.030303,4170.666666,4484.90909,4484.393939,4183.545454,5226.212121,7125.060605,4380.848484,5559.515151,left
26,4180.454545,4364.878787,4664.181818,5144.818181,3418.030303,4268.030303,4170.666666,4484.90909,4484.393939,4183.545454,5226.212121,7125.060605,4380.848484,5559.515151,left
27,4180.454545,4364.878787,4664.181818,5144.818181,3418.030303,4268.030303,4170.666666,4484.90909,4484.393939,4183.545454,5226.212121,7125.060605,4380.848484,5559.515151,left
28,4210.848484,4439.575757,4914.545454,5069.090909,3295.939394,4158.818181,3947.60606,4655.424242,4475.636363,4143.878787,5121.121212,7936.939393,4363.333333,5773.818181,left
29,4478.212121,4706.424242,5187.060606,5197.363636,3748.242424,4071.242424,3667.363636,4721.363636,4449.363636,4237.121212,4720.333333,7119.90909,4057.848484,5450.818181,left
30,4478.212121,4706.424242,5187.060606,5197.363636,3748.242424,4071.242424,3667.363636,4721.363636,4449.363636,4237.121212,4720.333333,7119.90909,4057.848484,5450.818181,left
31,4582.787878,4722.90909,5042.30303,5248.363636,3672,4066.090909,3727.636363,4589.484848,4444.727272,4212.90909,4713.121212,7557.272727,3996.030303,5319.969696,left
32,4582.787878,4722.90909,5042.30303,5248.363636,3672,4066.090909,3727.636363,4589.484848,4444.727272,4212.90909,4713.121212,7557.272727,3996.030303,5319.969696,left
33,4413.30303,5097.939393,4826.969696,4762.575757,3574.121212,3944,3184.666666,4410.727272,4408.666666,4228.363636,4736.818181,5582.696969,4017.151515,6444.030302,left
34,5543.030302,4674.484848,5151.515151,4144.90909,3969.757575,4092.363636,3152.727272,4338.60606,4364.878787,4190.757575,4591.030303,3839.939394,3446.878788,6442.484848,left
35,5543.030302,4674.484848,5151.515151,4144.90909,3969.757575,4092.363636,3152.727272,4338.60606,4364.878787,4190.757575,4591.030303,3839.939394,3446.878788,6442.484848,left
36,5543.030302,4674.484848,5151.515151,4144.90909,3969.757575,4092.363636,3152.727272,4338.60606,4364.878787,4190.757575,4591.030303,3839.939394,3446.878788,6442.484848,left
37,4720.848484,4870.242424,4704.363636,4066.60606,4125.333333,4264.424242,3304.181818,4395.787878,4380.848484,4196.424242,4449.878787,3597.30303,4250.515151,6650.090908,left
38,4531.787878,4843.969696,3967.696969,4330.363636,4098.030303,4293.272727,3439.151515,4272.151515,4373.121212,4179.424242,4352,4547.757575,4338.090909,6411.575757,left
39,4531.787878,4843.969696,3967.696969,4330.363636,4098.030303,4293.272727,3439.151515,4272.151515,4373.121212,4179.424242,4352,4547.757575,4338.090909,6411.575757,left
40,4531.787878,4843.969696,3967.696969,4330.363636,4098.030303,4293.272727,3439.151515,4272.151515,4373.121212,4179.424242,4352,4547.757575,4338.090909,6411.575757,left
41,4467.90909,4877.454545,3502.515151,4374.666666,4133.575757,4363.333333,3691.060606,4270.60606,4349.939394,4149.545454,4422.575757,4489.545454,4279.878787,5940.212121,left
42,4467.90909,4877.454545,3502.515151,4374.666666,4133.575757,4363.333333,3691.060606,4270.60606,4349.939394,4149.545454,4422.575757,4489.545454,4279.878787,5940.212121,left
43,4311.818181,4430.30303,4367.454545,4664.696969,4164.484848,4550.848484,4014.060606,4359.727272,4363.333333,4158.30303,4498.818181,3339.212121,4042.393939,4499.333333,left
44,4311.818181,4430.30303,4367.454545,4664.696969,4164.484848,4550.848484,4014.060606,4359.727272,4363.333333,4158.30303,4498.818181,3339.212121,4042.393939,4499.333333,left
45,4280.90909,4651.30303,4141.818181,4693.030303,4094.424242,4565.272727,4246.393939,4415.878787,4388.060606,4156.757575,4461.212121,3243.393939,4108.333333,4459.151515,left
46,4241.757575,4738.878787,3944.515151,4705.90909,4097,4608.545454,4390.121212,4411.757575,4384.454545,4145.939394,4466.878787,3339.727272,4121.212121,4468.424242,left
47,4280.393939,4602.878787,3981.60606,4646.666666,3986.757575,4532.818181,4371.060606,4477.181818,4401.454545,4147.484848,4500.878787,3851.787878,4098.545454,4530.757575,left
48,4088.757575,4317.484848,4160.363636,4609.575757,3886.30303,4428.242424,4257.212121,4584.333333,4433.393939,4113.484848,4619.878787,4547.757575,4060.424242,4830.060606,left
49,4036.727272,4277.818181,4158.818181,4571.969697,3861.060606,4425.666666,4242.272727,4573.515151,4407.121212,4016.121212,4538.484848,4300.484848,4190.757575,5109.787878,left
